foil,alpha,ncrit,conv,aero_conv,failure_mode,newton_iterations,wall_ms,CL,CD,OASPL,rescue_conv,rescue_conv_guarded
E186 (10.27%).dat,-4.0,9.0,1,1,,44,345.4,-0.5278351573323348,0.008622304567421938,70.09891262812982,,
E186 (10.27%).dat,-2.0,9.0,1,1,,29,234.4,-0.3094715058757092,0.007005450457170253,69.5983757851219,,
E186 (10.27%).dat,0.0,9.0,1,1,,23,188.0,-0.10486845133675637,0.004584128321751097,68.14602313301612,,
E186 (10.27%).dat,2.0,9.0,1,1,,25,212.3,0.15041777824838995,0.004517838516189207,65.46279488297148,,
E186 (10.27%).dat,4.0,9.0,1,1,,8,81.8,0.4288263242155798,0.0051743875091059995,66.12518940332933,,
E186 (10.27%).dat,6.0,9.0,1,1,,10,98.7,0.6896631979199269,0.0077619576193540245,66.74028156198364,,
E186 (10.27%).dat,8.0,9.0,1,1,,7,76.1,0.9125639219786785,0.010617732306879119,67.71671378209962,,
E374.dat,-4.0,5.0,1,1,,19,187.4,-0.23030046929741557,0.00785318670576871,69.3136953514858,,
E374.dat,-2.0,5.0,1,1,,10,110.5,-0.011593863166591334,0.006785770377304513,68.9440358316364,,
E374.dat,0.0,5.0,1,1,,37,289.5,0.20226189390338786,0.005448425890653171,68.38898426664053,,
E374.dat,2.0,5.0,1,1,,6,71.0,0.4120075542306466,0.004790765931233917,67.86484133404306,,
E374.dat,4.0,5.0,1,1,,33,259.1,0.6225912506258903,0.00593095457100427,75.42451425584912,,
E374.dat,6.0,5.0,1,1,,18,160.7,0.8462336182405851,0.009022406805013374,69.330770018415,,
E374.dat,8.0,5.0,0,0,nan_lock,100,34.5,,,,1,1
E374.dat,-4.0,9.0,1,1,,50,373.5,-0.22806229368976091,0.007647434821883151,69.2207836892984,,
E374.dat,-2.0,9.0,1,1,,55,437.3,-0.013377512540889105,0.006139954212976052,68.72961592870456,,
E374.dat,0.0,9.0,1,1,,19,171.4,0.19008838625272562,0.004267509534530601,67.67051682592827,,
E374.dat,2.0,9.0,1,1,,22,189.6,0.407632711215738,0.004261693014875249,67.6521603320727,,
E374.dat,4.0,9.0,0,0,nan_lock,100,85.1,,,,1,1
E374.dat,6.0,9.0,1,1,,11,102.0,0.8939927004674121,0.008569976182910935,68.81244074240688,,
