foil_idx,foil,Re,alpha,nCrit,ncrithyst,converged,failure_mode,newton_iterations,CL,CD,error
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,9.0,0.4,1,,9,1.2500171430819216,0.0382783700570369,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,9.0,0.8,1,,9,1.2500171430819216,0.0382783700570369,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,12.0,0.0,1,,15,1.2458862359259306,0.0428440610310889,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,12.0,0.1,1,,15,1.2456758074267729,0.0437650511514943,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,12.0,0.2,1,,15,1.2456758074267729,0.0437650511514943,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,12.0,0.4,1,,15,1.2456758074267729,0.0437650511514943,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,12.0,0.8,1,,15,1.2456758074267729,0.0437650511514943,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,6.0,0.0,1,,10,1.2470210873294436,0.0569180345821295,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,6.0,0.1,1,,10,1.2470210873294436,0.0569180345821295,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,6.0,0.2,1,,10,1.2470210873294436,0.0569180345821295,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,6.0,0.4,1,,10,1.2470210873294436,0.0569180345821295,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,6.0,0.8,1,,10,1.2470210873294436,0.0569180345821295,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,9.0,0.0,1,,16,1.208864547545242,0.064642154762223,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,9.0,0.1,1,,16,1.208864547545242,0.064642154762223,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,9.0,0.2,1,,16,1.208864547545242,0.064642154762223,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,9.0,0.4,1,,16,1.208864547545242,0.064642154762223,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,9.0,0.8,1,,16,1.208864547545242,0.064642154762223,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,12.0,0.0,1,,15,1.1322071001587106,0.0793468434434578,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,12.0,0.1,1,,15,1.1322071001587106,0.0793468434434578,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,12.0,0.2,1,,15,1.1322071001587106,0.0793468434434578,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,12.0,0.4,1,,15,1.1322071001587106,0.0793468434434578,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,12.0,12.0,0.8,1,,15,1.1322071001587106,0.0793468434434578,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,6.0,0.0,1,,6,0.3054425986877733,0.0061341494730797,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,6.0,0.1,1,,6,0.3054425992536112,0.0061341494660649,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,6.0,0.2,1,,6,0.3054425992536112,0.0061341494660649,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,6.0,0.4,1,,16,0.3054425582284688,0.0061341392731436,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,6.0,0.8,1,,16,0.3054425582284688,0.0061341392731436,
